,Unnamed: 0,Company,Experience,JobTitle,salary_avg,Salary,Summary,monthly,,salary_max,salary_min,City,State,Lightning,LWC,Triggers,Test_Classes,JavaScript,Testing,Client,Configuration,Business,lightning,apex,development,Business_Interaction,Functional,Lead_team
0,0,Spadeworx software Services,5,Salesforce Developer,1147200,"₹50,000 - ₹90,000 a month","Basic knowledge of salesforce development (Apex, Triggers, Lightning) is a must. As a Salesforce Admin, you will be part of a team responsible for supporting…",1,,1544400,750000,Pune, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,221 B Baker ST,5,Salesforce Administrator,630000,"₹30,000 - ₹60,000 a month","Develop customized solutions within the Salesforce platform to support critical business functions and meet project objectives, client requirements, and company…",1,,900000,360000,Kolkata, West Bengal,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
2,2,Appletech,5,Salesforce Administrator,600000,"₹25,000 - ₹60,000 a month","3+ years of Salesforce application experience. Experience in Sales Cloud Lightning - Enterprise Edition a big plus. Salary: ₹25,000.00 - ₹60,000.00 per month.",1,,900000,300000,Ahmedabad, Gujarat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,GeniusU Web Services pvt ltd,5,Salesforce Developer,1287000,"₹75,000 a month","Work alongside the Salesforce administrator to ensure database cleanliness, object syncing, bidirectional sync with CRM using Marketing Cloud Connect, and…",1,,1287000,1287000,Mumbai, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Cloudy Wave Technology Pvt Ltd,5,Salesforce Developer,537500,"₹2,00,000 - ₹7,00,000 a year",We are looking for strong Salesforce experienced administrator/developer with excellent skills Qualifications: . Integration skills using REST & SOAP APIs.,0,,875000,200000,Pune, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,C2N IT Services Pvt Ltd,5,Salesforce Developer,750000,"₹6,00,000 a year","Experience utilizing development frameworks and libraries, such as the Lightning Component Framework, Salesforce Lightning Design System, and jquery.",0,,750000,750000,Hyderabad, Telangana,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,8,Keras Global,8,Salesforce Developer,1587300,"₹90,000 - ₹95,000 a month","Location : Remote working or also in nearshore location . Start : immediately /2-4 weeks. Minimum 4+ *Salesforce Development experience , with Salesforce…",1,,1630200,1544400,Hyderabad, Telangana,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,9,Webkul Software,2,Salesforce Business Analyst,320000,"₹3,20,000 a year",Usually maps requirement of business to salesforce features of the product. We are looking for an ideal candidate with exceptional interfacing skills with…,0,,320000,320000,Noida, Uttar Pradesh,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
10,10,GeniusU Web Services pvt ltd,5,Salesforce Business Analyst,585000,"₹35,000 - ₹50,000 a month","Work alongside the Salesforce administrator to ensure database cleanliness, object syncing, bidirectional sync with CRM using Marketing Cloud Connect, and…",1,,750000,420000,Mumbai, Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,Workafella,5,Salesforce Administrator,575000,"₹4,00,000 - ₹6,00,000 a year",Serve as primary system administrator for the Salesforce environment. Handle all basic administrative functions including creation and implementation of reports…,0,,750000,400000,Chennai, Chennai,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12,12,ANI Calls India Private Limited,8,Salesforce Developer,1644500,"₹9,00,000 - ₹14,00,000 a year",Ten years of overall IT experience. 2 to 3 years' Experience as a Salesforce Technical Lead or Senior Developer in a fast-paced environment.,0,,2002000,1287000,Mumbai, Maharashtra,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13,13,ICS Consultancy Services,8,Salesforce Developer,2502500,"₹10,00,000 - ₹25,00,000 a year","Must have Skills : Salesforce Good to Have Skills : No Technology Specialty Job Requirements : 1 Reponsibilities: a Experienced in development of salesforce,…",0,,3575000,1430000,Mumbai, Maharashtra,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
14,14,ICS Consultancy Services,8,Salesforce Developer,2502500,"₹10,00,000 - ₹25,00,000 a year","Must have Skills : Salesforce Good to Have Skills : No Technology Specialty Job Requirements : 1 Reponsibilities: a Experienced in development of salesforce,…",0,,3575000,1430000,Mumbai, Maharashtra,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
15,15,Search Bridge Consulting,8,Salesforce Developer,1573000,"₹10,00,000 - ₹12,00,000 a year",Certified Pardot & Salesforce Developer and administrator. Design and develop new landing pages in Pardot and integrate prospect generation with Salesforce and…,0,,1716000,1430000,Delhi, Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,ICS Consultancy Services,8,Salesforce Administrator,2502500,"₹10,00,000 - ₹25,00,000 a year","Must have Skills : Salesforce Good to Have Skills : No Technology Specialty Job Requirements : 1 Reponsibilities: a Experienced in development of salesforce,…",0,,3575000,1430000,Mumbai, Maharashtra,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
17,17,Titan Consultancy,10,Salesforce Technical Architect,3432000,"₹18,00,000 - ₹30,00,000 a year","This Client is experiencing tremendous growth and is looking to add a sharp Salesforce Architect to the team. In this role, you will make an immediate impact by…",0,,4290000,2574000,Bengaluru, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,ICS Consultancy Services,8,Salesforce Developer,2502500,"₹10,00,000 - ₹25,00,000 a year","Must have Skills : Salesforce Good to Have Skills : No Technology Specialty Job Requirements : 1 Reponsibilities: a Experienced in development of salesforce,…",0,,3575000,1430000,Mumbai, Maharashtra,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
20,20,ANI Calls India Private Limited,8,Salesforce Developer,1644500,"₹9,00,000 - ₹14,00,000 a year",Ten years of overall IT experience. 2 to 3 years' Experience as a Salesforce Technical Lead or Senior Developer in a fast-paced environment.,0,,2002000,1287000,Noida, Uttar Pradesh,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
21,21,Talentbasket,5,Salesforce Developer,1358500,"₹9,00,000 - ₹10,00,000 a year",Great opportunity to work for a leading global consumer tax services provider and Fortune 1000 company in Trivandrum. Agile working experience will be a plus.,0,,1430000,1287000,Remote, Kerala,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
22,22,GeniusU Web Services pvt ltd,5,Salesforce Administrator,585000,"₹35,000 - ₹50,000 a month","Work alongside the Salesforce administrator to ensure database cleanliness, object syncing, bidirectional sync with CRM using Marketing Cloud Connect, and…",1,,750000,420000,Mumbai, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,ICS Consultancy Services,10,Salesforce Technical Architect,2502500,"₹10,00,000 - ₹25,00,000 a year","Roles and responsibilities for Opportunity in Salesforce Technical Architecture. : Role : Application Lead Role Description : Lead the effort to design, build…",0,,3575000,1430000,Hyderabad, Telangana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
24,24,ICS Consultancy Services,10,Salesforce Technical Architect,2502500,"₹10,00,000 - ₹25,00,000 a year","Roles and responsibilities for Immediate jobs in Salesforce Technical Architecture. : Role : Application Lead Role Description : Lead the effort to design,…",0,,3575000,1430000,Hyderabad, Telangana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
25,25,ANI Calls India Private Limited,8,Salesforce Developer,1644500,"₹9,00,000 - ₹14,00,000 a year",Ten years of overall IT experience. 2 to 3 years' Experience as a Salesforce Technical Lead or Senior Developer in a fast-paced environment.,0,,2002000,1287000,Hyderabad, Telangana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
26,26,Talent Zone Consultants,5,Salesforce Developer,865000,"₹3,00,000 - ₹10,00,000 a year",Work Experience: 3 - 6 years of Salesforce.com experience with minimum 2 year experience as. Designation: Salesforce Platform Developer / Salesforce Platform…,0,,1430000,300000,Bengaluru, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,ANI Calls India Private Limited,8,Salesforce Developer,1644500,"₹9,00,000 - ₹14,00,000 a year",Ten years of overall IT experience. 2 to 3 years' Experience as a Salesforce Technical Lead or Senior Developer in a fast-paced environment.,0,,2002000,1287000,Chennai, Tamil Nadu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28,28,ANI Calls India Private Limited,8,Salesforce Developer,1644500,"₹9,00,000 - ₹14,00,000 a year",Ten years of overall IT experience. 2 to 3 years' Experience as a Salesforce Technical Lead or Senior Developer in a fast-paced environment.,0,,2002000,1287000,Bengaluru, Karnataka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29,29,Angel & Genie,5,Salesforce Developer,1430000,"₹10,00,000 a year",O 3 plus salesforce certifications including Administrator and Platform developer. Our client is specializes in Healthcare Informatics and enablement.,0,,1430000,1430000,Bengaluru, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,ICS Consultancy Services,10,Salesforce Technical Architect,2502500,"₹10,00,000 - ₹25,00,000 a year","Roles and responsibilities for Maximo Jobs in Mumbai. : Role : Application Lead Role Description : Lead the effort to design, build and configure applications,…",0,,3575000,1430000,Hyderabad, Telangana,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
31,31,C P Careers Private Limited,10,Salesforce Technical/Proect Manager,3217500,"₹20,00,000 - ₹25,00,000 a year","Required 10-15 years of Functional & Non-Functional Testing experience. Required - SFDC certifications (Administrator, App Builder, Sales Cloud, Service Cloud,…",0,,3575000,2860000,Chennai, Tamil Nadu,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
32,32,Search advisers Services (GUJ) Private Limited,8,Salesforce Developer,2288000,"₹10,00,000 - ₹22,00,000 a year",Work Timings: 5:30Pm to 2:30Am IST. Work with architects and other developers to translate business requirements into solution designs.,0,,3146000,1430000,Bengaluru, Karnataka,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
34,34,ICS Consultancy Services,8,Salesforce Developer,2502500,"₹10,00,000 - ₹25,00,000 a year","Roles and responsibilities for Workday Core HCM Openings in Hyderabad. : Role : Application Developer Role Description : Design, build and configure…",0,,3575000,1430000,Hyderabad, Telangana,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
35,35,ICS Consultancy Services,8,Salesforce Developer,2502500,"₹10,00,000 - ₹25,00,000 a year","Roles and responsibilities for Urgent Requirement Java Enterprise Edition. : Role : Application Developer Role Description : Design, build and configure…",0,,3575000,1430000,Delhi,India,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
36,36,ICS Consultancy Services,8,Salesforce Developer,2502500,"₹10,00,000 - ₹25,00,000 a year","Roles and responsibilities for Java Enterprise Edition Jobs in Hyderabad. : Role : Application Developer Role Description : Design, build and configure…",0,,3575000,1430000,Hyderabad, Telangana,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
39,39,Promotup HR Solutions,8,Salesforce Technical/Proect Manager,1930500,"?12,00,000 - ?15,00,000 a year","Salesforce, meeting sales targets in his/her territory, and delivering month-on-month growth. Toppr is looking for a General Manager - Sales.",0,,2145000,1716000,Bengaluru, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,Infotribo Technologies Pvt Ltd,5,Salesforce Developer,1211931.4,"?6,11,095 - ?11,60,835 a year","Interact directly with our customers and the Summit Technologies team, including consultants, project managers, business analysts, architects and sales reps to…",0,,1659994.05,763868.75,Bengaluru, Karnataka,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,41,Webner Solutions Pvt. Ltd.,8,Salesforce Technical/Proect Manager,1401000,"?8,00,000 - ?14,00,000 a year","We are looking for a Technical Project Manager who will oversee multiple projects and guide the development teams working on Web apps in PHP, C# .",0,,2002000,800000,Gurgaon, Punjab,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,42,4M global solution pvt ltd ( CARBAZAAR APP),2,Salesforce Administrator,400000,"?4,00,000 a year",We are looking for a Territory Manager to help us increase our sales revenues and maintain customer relationships within an assigned geographical area.,0,,400000,400000,Mumbai, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,ANI Calls India Private Limited,10,Salesforce Technical/Proect Manager,2288000,"?12,00,000 - ?20,00,000 a year","8+ years of combined IT experience with increasing levels of responsibility. 4+ years of architecture experience across various Salesforce clouds (Sales,…",0,,2860000,1716000,Bengaluru, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,221 B Baker ST,5,Salesforce Developer,926400,"?40,000 - ?80,000 a month","\* Interact directly with clients, managers, and end-users as necessary to analyze project objectives and capability requirements, including specifications for…",1,,1372800,480000,Kolkata, West Bengal,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
45,45,Pacific Global Solutions Limited,5,Salesforce Business Analyst,750000,"?45,000 - ?55,000 a month","Proactively develop methods to optimize, scale, and improve business processes across Sales. Works closely with sales management to inspect sales process…",1,,825000,675000,Ahmedabad, Gujarat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,46,Brabers Consultancy,10,Salesforce Technical/Proect Manager,3432000,"?2,00,000 a month",Able to manager a team in a highly complex organisation. Brabers Consultancy is supporting one of their major international consultancy partners with the…,1,,3432000,3432000,Bengaluru, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,kevell Corp,2,Salesforce Developer,450972,"?33,823 - ?41,339 a month",Meeting with project managers to determine CRM needs. Developing customized solutions within the Salesforce platform. Creating timelines and development goals.,1,,496068,405876,Chennai, Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,50,3AK CHEMIE pvt ltd,8,Salesforce Technical/Proect Manager,318000,"?25,000 - ?28,000 a month",We are looking for a Junior Account Manager at our factory location Kallakal Village.(12 kms from medchal) . If you enjoy coming up with effective solutions and…,1,,336000,300000,Hyderabad, Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,Crescendo WorldWide,5,Salesforce Business Analyst,600000,"?4,00,000 - ?8,00,000 a year","Experience: Proven working experience as a business development manager, sales executive or a relevant role. Supporting 20,000+ companies globally for Expanding…",0,,800000,400000,Pune, Maharashtra,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
52,52,Kcloud Technologies,8,Salesforce Technical/Proect Manager,1716000,"?10,00,000 - ?14,00,000 a year","Qualification : *B.tech, BCA,MCA,MBA,BBA. 8 years of IT experience and MUST HAVE 6 to 8 years of SFDC project management SM leadership experience.",0,,2002000,1430000,Noida, Uttar Pradesh,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
53,53,Caz Brain,8,Salesforce Technical/Proect Manager,1716000,"?12,00,000 a year","Proven working experience as a business development manager, sales executive or a relevant role. We are looking for an ambitious and energetic Business…",0,,1716000,1716000,Delhi, Delhi,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
54,54,HI-TECH INFORMATION & FAST SERVICES,5,Salesforce Business Analyst,870000,"?50,000 - ?66,000 a month",Currently we are having an urgent opening with one of our reputed clients in Pune is into MANUFACTURING INDUSTY . EXPREANCE : - 08 to 10 year .,1,,990000,750000,Pune, Pune,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,RIGHT DEAL REALTY LLP,5,Salesforce Business Analyst,975600,"?50,000 - ?70,000 a month","Proven working experience as a business development manager, sales. We are looking for an ambitious and energetic Business Development.",1,,1201200,750000,Mumbai, Navi Mumbai,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
56,56,Wise Monk,2,Salesforce Business Analyst,500000,"?5,00,000 a year","Negotiating on price, costs, delivery and specifications with buyers and managers to ensure the solution can be delivered within budget and margin expectations.",0,,500000,500000,Remote,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,VIS Networks Pvt Ltd,8,Salesforce Business Analyst,480000,"?40,000 a month","There has never been a better and more exciting time to join the VIS-Avaya brand. Avaya is a recognised global market leader in delivering innovative, next…",1,,480000,480000,Bengaluru, Karnataka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
58,58,ICS Consultancy Services,10,Salesforce Technical/Proect Manager,2502500,"?10,00,000 - ?25,00,000 a year","Roles and responsibilities for Urgent Opening Salesforce. : Role : Application Lead Role Description : Lead the effort to design, build and configure…",0,,3575000,1430000,Delhi,India,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
59,59,Wise Monk,5,Salesforce Business Analyst,875000,"?7,00,000 a year","Ensuring smooth functioning of the account internally to help meet all deliverables including coordination with design teams, media teams, managers, and other…",0,,875000,875000,Remote,Remote,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
62,62,Options India,8,Salesforce Developer,2645500,"?12,00,000 - ?25,00,000 a year","Q3. How many years of experience do you have in hands-on salesforce development? Communicate with project managers, clients, and other developers to design…",0,,3575000,1716000,Bengaluru, Karnataka,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,64,Go Native LLP,5,Salesforce Business Analyst,630000,"?30,000 - ?60,000 a month","Proven working experience as a business development manager, sales executive or a relevant role. We are looking for an ambitious and energetic Business…",1,,900000,360000,Bengaluru, Karnataka,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
65,65,Grubbrr,5,Salesforce Developer,975667.5,"?7,80,534 a year",L Build functionalities in a sandbox with Visual Force or Apex before deploying to production. L Act as a Project or Product Manager during implementation and…,0,,975667.5,975667.5,Ahmedabad, Gujarat,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
66,66,10xGrowth.com,8,Salesforce Technical/Proect Manager,1644500,"?10,00,000 - ?13,00,000 a year","Currently we are hiring for a Multinational Geo Location mapping services Company with its offices in France, Singapore, UK for the position of an *""Lead…",0,,1859000,1430000,Mumbai, Maharashtra,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
68,68,Zone Funnel Technologies,2,Salesforce Business Analyst,360000,"?25,000 - ?35,000 a month","Work with the project managers and make sure the customers expectations are delivered. We are looking to add to our Account management team in Livermore, CA.",1,,420000,300000,Chennai, Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,C P Careers Private Limited,10,Salesforce Technical/Proect Manager,3575000,"?20,00,000 - ?30,00,000 a year",INR 20 LPA - 30 LPA. Mandatory: 12+ years of Overall IT work experience. Mandatory: Minimum 8-9 years implementing Salesforce Integration.,0,,4290000,2860000,Bengaluru, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,Brighture IT,7,Salesforce Technical Architect,965000,"?5,00,000 - ?10,00,000 a year",Provide Technical leadership to implement eCommerce applications on Salesforce Commerce Cloud (SFCC/ Demand ware). Able to lead the technical team and mentor.,0,,1430000,500000,Bengaluru, Karnataka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
71,71,Starr365.com,2,Salesforce Business Analyst,360000,"?20,000 - ?40,000 a month",Starr365.com is a Australian Start Up. This is an exciting opportunity for an experienced SaaS Product Manager to grow the product and maximise its commercial…,1,,480000,240000,Delhi, Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,ELYSIAN CORPTECH,2,Salesforce Business Analyst,390000,"?30,000 - ?35,000 a month",Specialized licenses or certificates may be required for some area manager positions in highly technical industries. Expected Start Date: 1/2/2021.,1,,420000,360000,Remote, Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,C P Careers Private Limited,10,Salesforce Technical/Proect Manager,3217500,"?20,00,000 - ?25,00,000 a year","Required 10-15 years of Functional & Non-Functional Testing experience. Required - SFDC certifications (Administrator, App Builder, Sales Cloud, Service Cloud,…",0,,3575000,2860000,Chennai, Tamil Nadu,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
74,74,High Career,8,Salesforce Developer,2502500,"?10,00,000 - ?25,00,000 a year","Knowledge of JS build engines like gulp or webpack, release manager experience; Urgent hiring for the position of Salesforce Commerce Cloud Developer *.",0,,3575000,1430000,Bengaluru, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,ANI Calls India Private Limited,8,Salesforce Technical/Proect Manager,1401000,"?8,00,000 - ?14,00,000 a year","Experience with enterprise tools, such as Customer Relationship Management (Salesforce preferred), HCM, ERP, and other COTS solutions.",0,,2002000,800000,Hyderabad, Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,Hughes and Hughes chemical limited,2,Salesforce Business Analyst,390000,"?30,000 - ?35,000 a month",Proven working experience as a business development manager. Develop a growth strategy focused both on financial gain and customer satisfaction.,1,,420000,360000,Delhi, Delhi,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
79,79,KAG INDIA PVT. LTD.,2,Salesforce Business Analyst,420000,"?35,000 a month","Proven working experience as a business development manager, sales executive or a relevant role. We are leading Tiles Manufacturing and selling company, Head…",1,,420000,420000,Chennai, Tamil Nadu,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
80,80,Cambridge University Press,8,Salesforce Technical/Proect Manager,1043500,"?8,00,000 - ?9,00,000 a year",Territory Manager Sales – Academic & Higher Education (Bangalore). Cambridge University Press India Pvt. Ltd. Regular follow up on leads.,0,,1287000,800000,Bengaluru, Karnataka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
81,81,SimbaQuartz,2,Salesforce Business Analyst,495000,"?20,000 - ?50,000 a month","Proven working experience as a business development manager, sales executive or a relevant role. We are looking for Business Development Manager for Our IT…",1,,750000,240000,Gurgaon, Punjab,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
82,82,ICS Consultancy Services,8,Salesforce Developer,2502500,"?10,00,000 - ?25,00,000 a year",Must have Skills : Mulesoft Cloudhub Good to Have Skills : No Technology Specialty Job Requirements : Key Responsibilities : a Responsible for RAML designs and…,0,,3575000,1430000,Pune, Maharashtra,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
84,84,ICS Consultancy Services,8,Salesforce Developer,2502500,"?10,00,000 - ?25,00,000 a year",Must have Skills : Mulesoft Cloudhub Good to Have Skills : No Technology Specialty Job Requirements : Key Responsibilities : a Responsible for RAML designs and…,0,,3575000,1430000,Pune, Maharashtra,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
85,85,Goldsikka Jewels Ltd,2,Salesforce Business Analyst,360000,"?25,000 - ?35,000 a month","Proven working experience as a business development manager, sales executive or a relevant role. GoldSikka Jewels Private limited is part of a diversified three…",1,,420000,300000,Hyderabad, Telangana,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
86,86,ICS Consultancy Services,10,Salesforce Technical Architect,2502500,"?10,00,000 - ?25,00,000 a year","Roles and responsibilities for Opportunity in Salesforce Technical Architecture. : Role : Application Lead Role Description : Lead the effort to design, build…",0,,3575000,1430000,Hyderabad, Telangana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
87,87,Career Point Placement Services,8,Salesforce Technical/Proect Manager,743500,"?2,00,000 - ?9,00,000 a year","Looking Sales Manager to sell companies product that our customers have grown to rely on. He will utilise his skills to generate high quality leads, build a…",0,,1287000,200000,Mumbai, Maharashtra,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
89,89,Quess Corp Limited,8,Salesforce Business Analyst,1322500,"?5,00,000 - ?15,00,000 a year","Collaborates with application developers, designers, and architects to ensure a shared understanding of the business model and the detailed function…",0,,2145000,500000,Hyderabad, Telangana,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
90,90,ANI Calls India Private Limited,8,Salesforce Technical/Proect Manager,1401000,"?8,00,000 - ?14,00,000 a year","Experience with enterprise tools, such as Customer Relationship Management (Salesforce preferred), HCM, ERP, and other COTS solutions.",0,,2002000,800000,Bengaluru, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,10decoders Consultancy Services Pvt Ltd,2,Salesforce Business Analyst,350000,"?3,00,000 - ?4,00,000 a year","Proven working experience as a business development manager, sales executive or a relevant role. Qualification: BSc/BA in business administration, sales, or…",0,,400000,300000,Chennai, Tamil Nadu,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
